player_name,display_name,years_kept
Sony Michel,gnemos,1
DeAndre Hopkins,gnemos,1
Corey Davis,gnemos,1
Chris Carson,gocampo3619,2
Damien Harris,gocampo3619,1
Myles Gaskin,gocampo3619,1
Dalvin Cook,Ninked,1
James Robinson,Ninked,1
CeeDee Lamb,Ninked,1
Kyler Murray,JbMcc13,2
D'Andre Swift,JbMcc13,1
Darren Waller,JbMcc13,1
David Montgomery,kruse47,1
Antonio Gibson,kruse47,1
T.J. Hockenson,kruse47,1
Stefon Diggs,Trickydick514,1
Calvin Ridley,Trickydick514,2
Mike Williams,Emrtz,1
DK Metcalf,Emrtz,1
Justin Jefferson,Emrtz,1
Tee Higgins,chilliah,1
Russell Wilson,RazorMuffin,1
Darrell Henderson,RazorMuffin,1
Alvin Kamara,RazorMuffin,1
Nick Chubb,Andjita,1
Jonathan Taylor,Andjita,1
Tyreek Hill,Andjita,1
