Owner,Player,Position,Old Years Kept,New Years Kept,Draft Round 2023,Keeper Cost 2024,Eligible,Note
ThinkSchwartz,Baker Mayfield,QB,0,0,15,14,True,
ThinkSchwartz,Calvin Ridley,WR,1,1,10,9,True,
ThinkSchwartz,Daniel Jones,QB,0,0,3,2,True,
ThinkSchwartz,CeeDee Lamb,WR,0,0,2,1,True,
ThinkSchwartz,Jonathan Taylor,RB,0,0,7,6,True,
ThinkSchwartz,Javonte Williams,RB,0,0,4,3,True,
ThinkSchwartz,Drake London,WR,2,2,6,5,False,Ineligible. Reached years kept limit of 2
ThinkSchwartz,Kenneth Walker,RB,2,2,5,4,False,Ineligible. Reached years kept limit of 2
ThinkSchwartz,Tank Bigsby,RB,0,0,11,10,True,
ThinkSchwartz,Deuce Vaughn,RB,0,0,13,12,True,
ThinkSchwartz,Bijan Robinson,RB,0,0,1,0,False,Ineligible. Drafted in first round.
ThinkSchwartz,C.J. Stroud,QB,0,0,9,8,True,
ThinkSchwartz,Seattle Seahawks,DEF,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Furl,Tyler Lockett,WR,0,0,5,4,True,
Furl,David Njoku,TE,0,0,13,12,True,
Furl,Alvin Kamara,RB,0,0,5,4,True,
Furl,Cooper Kupp,WR,0,0,3,2,True,
Furl,Samaje Perine,RB,0,0,11,10,True,
Furl,Michael Gallup,WR,1,1,9,8,True,
Furl,Deebo Samuel,WR,0,0,4,3,True,
Furl,Alexander Mattison,RB,2,2,12,11,False,Ineligible. Reached years kept limit of 2
Furl,Justin Jefferson,WR,0,0,1,0,False,Ineligible. Drafted in first round.
Furl,Gabe Davis,WR,0,0,8,7,True,
Furl,Najee Harris,RB,0,0,2,1,True,
Furl,Zach Wilson,QB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Furl,Ja'Marr Chase,WR,0,0,2,1,True,
Furl,Kenny Pickett,QB,1,1,10,9,True,
Furl,Brock Purdy,QB,0,0,6,5,True,
Furl,Philadelphia Eagles,DEF,0,0,14,13,True,
Robbietee,Roschon Johnson,RB,0,0,14,13,True,
Robbietee,Russell Wilson,QB,0,0,9,8,True,
Robbietee,Travis Kelce,TE,0,0,3,2,True,
Robbietee,Amari Cooper,WR,0,0,4,3,True,
Robbietee,Chris Godwin,WR,0,0,5,4,True,
Robbietee,Patrick Mahomes,QB,0,0,1,0,False,Ineligible. Drafted in first round.
Robbietee,Austin Ekeler,RB,0,0,2,1,True,
Robbietee,Dallas Goedert,TE,0,0,11,10,True,
Robbietee,Nico Collins,WR,0,0,10,9,True,
Robbietee,Tyler Allgeier,RB,0,0,13,12,True,
Robbietee,Jameson Williams,WR,0,0,12,11,True,
Robbietee,Chigoziem Okonkwo,TE,0,0,16,15,True,
Robbietee,De'Von Achane,RB,0,0,7,6,True,
Robbietee,Jaxon Smith-Njigba,WR,0,0,6,5,True,
Robbietee,Tank Dell,WR,0,0,15,14,True,
Robbietee,Buffalo Bills,DEF,2,2,8,7,False,Ineligible. Reached years kept limit of 2
bh0wdy,Rashee Rice,WR,0,0,10,9,True,
bh0wdy,Dalton Kincaid,TE,0,0,14,13,True,
bh0wdy,Adam Thielen,WR,0,0,9,8,True,
bh0wdy,Darren Waller,TE,0,0,7,6,True,
bh0wdy,Raheem Mostert,RB,1,1,15,14,True,
bh0wdy,Dalvin Cook,RB,0,0,8,7,True,
bh0wdy,JuJu Smith-Schuster,WR,1,1,5,4,True,
bh0wdy,Zay Jones,WR,0,0,13,12,True,
bh0wdy,Joe Burrow,QB,0,0,1,0,False,Ineligible. Drafted in first round.
bh0wdy,Tony Jones,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
bh0wdy,DeVonta Smith,WR,1,1,6,5,True,
bh0wdy,Deon Jackson,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
bh0wdy,Kenneth Gainwell,RB,0,0,16,15,True,
bh0wdy,Desmond Ridder,QB,0,0,12,11,True,
bh0wdy,Puka Nacua,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
bh0wdy,San Francisco 49ers,DEF,0,0,11,10,True,
