Owner,Player,Position,Old Years Kept,New Years Kept,Draft Round 2023,Keeper Cost 2024,Eligible,Note
TurkeySwift,Michael Thomas,WR,0,0,9,8,True,
TurkeySwift,Mike Williams,WR,0,0,6,5,True,
TurkeySwift,Aaron Jones,RB,1,1,1,0,False,Ineligible. Drafted in first round.
TurkeySwift,DK Metcalf,WR,1,1,4,3,True,
TurkeySwift,Craig Reynolds,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
TurkeySwift,Tua Tagovailoa,QB,0,0,2,1,True,
TurkeySwift,J.K. Dobbins,RB,0,0,5,4,True,
TurkeySwift,Clyde Edwards-Helaire,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
TurkeySwift,Donovan Peoples-Jones,WR,0,0,15,14,True,
TurkeySwift,Cole Kmet,TE,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
TurkeySwift,Zack Moss,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
TurkeySwift,Justin Fields,QB,1,1,3,2,True,
TurkeySwift,Sam Howell,QB,0,0,10,9,True,
TurkeySwift,Isiah Pacheco,RB,1,1,12,11,True,
TurkeySwift,Quentin Johnston,WR,0,0,7,6,True,
TurkeySwift,Zay Flowers,WR,0,0,8,7,True,
TurkeySwift,Kansas City Chiefs,DEF,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Andjita,Jayden Reed,WR,0,0,13,12,True,
Andjita,Geno Smith,QB,0,0,4,3,True,
Andjita,Christian McCaffrey,RB,0,0,1,0,False,Ineligible. Drafted in first round.
Andjita,Kareem Hunt,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Andjita,Mark Andrews,TE,0,0,4,3,True,
Andjita,Kyler Murray,QB,0,0,9,8,True,
Andjita,Terry McLaurin,WR,0,0,4,3,True,
Andjita,Jakobi Meyers,WR,0,0,10,9,True,
Andjita,Tee Higgins,WR,0,0,3,2,True,
Andjita,Brandon Aiyuk,WR,0,0,5,4,True,
Andjita,Jordan Love,QB,0,0,7,6,True,
Andjita,Michael Pittman,WR,0,0,6,5,True,
Andjita,Cam Akers,RB,2,2,14,13,False,Ineligible. Reached years kept limit of 2
Andjita,Travis Etienne,RB,0,0,3,2,True,
Andjita,Khalil Herbert,RB,0,0,8,7,True,
Andjita,Jaylen Warren,RB,0,0,12,11,True,
Andjita,New York Jets,DEF,0,0,13,12,True,
Ninked,Kirk Cousins,QB,0,0,3,2,True,
Ninked,Allen Lazard,WR,0,0,11,10,True,
Ninked,Josh Jacobs,RB,0,0,2,1,True,
Ninked,Tony Pollard,RB,1,1,7,6,True,
Ninked,Justin Herbert,QB,0,0,1,0,False,Ineligible. Drafted in first round.
Ninked,Amon-Ra St. Brown,WR,1,1,5,4,True,
Ninked,Elijah Mitchell,RB,0,0,12,11,True,
Ninked,Elijah Moore,WR,0,0,8,7,True,
Ninked,Romeo Doubs,WR,0,0,10,9,True,
Ninked,Alec Pierce,WR,0,0,15,14,True,
Ninked,Brian Robinson,RB,1,1,14,13,True,
Ninked,Christian Watson,WR,0,0,4,3,True,
Ninked,Skyy Moore,WR,0,0,9,8,True,
Ninked,Marvin Mims,WR,0,0,13,12,True,
Ninked,Jordan Addison,WR,0,0,6,5,True,
Ninked,Cleveland Browns,DEF,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
chilliah,Jimmy Garoppolo,QB,0,0,13,12,True,
chilliah,Allen Robinson,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
chilliah,Mike Evans,WR,0,0,5,4,True,
chilliah,Derrick Henry,RB,0,0,2,1,True,
chilliah,Deshaun Watson,QB,1,1,9,8,True,
chilliah,Joe Mixon,RB,0,0,3,2,True,
chilliah,Jamaal Williams,RB,1,1,12,11,True,
chilliah,DJ Moore,WR,0,0,4,3,True,
chilliah,Josh Allen,QB,0,0,1,0,False,Ineligible. Drafted in first round.
chilliah,Courtland Sutton,WR,0,0,8,7,True,
chilliah,Jeff Wilson,RB,0,0,16,15,True,
chilliah,David Montgomery,RB,0,0,7,6,True,
chilliah,Rashod Bateman,WR,1,1,15,14,True,
chilliah,Jahan Dotson,WR,0,0,6,5,True,
chilliah,Treylon Burks,WR,0,0,11,10,True,
chilliah,Jerome Ford,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
chilliah,New England Patriots,DEF,0,0,16,15,True,
MeatWizard,Jonathan Mingo,WR,0,0,12,11,True,
MeatWizard,DeAndre Hopkins,WR,1,1,7,6,True,
MeatWizard,Evan Engram,TE,0,0,10,9,True,
MeatWizard,Matt Breida,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
MeatWizard,Saquon Barkley,RB,1,1,2,1,True,
MeatWizard,Lamar Jackson,QB,0,0,1,0,False,Ineligible. Drafted in first round.
MeatWizard,Darius Slayton,WR,0,0,15,14,True,
MeatWizard,Jerry Jeudy,WR,0,0,7,6,True,
MeatWizard,Jaylen Waddle,WR,2,2,6,5,False,Ineligible. Reached years kept limit of 2
MeatWizard,Mac Jones,QB,0,0,14,13,True,
MeatWizard,Rhamondre Stevenson,RB,2,2,13,12,False,Ineligible. Reached years kept limit of 2
MeatWizard,Chris Olave,WR,1,1,8,7,True,
MeatWizard,Kyren Williams,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
MeatWizard,Anthony Richardson,QB,0,0,4,3,True,
MeatWizard,Zach Charbonnet,RB,0,0,9,8,True,
MeatWizard,Dallas Cowboys,DEF,0,0,16,15,True,
Emrtz,Odell Beckham,WR,0,0,10,9,True,
Emrtz,Davante Adams,WR,0,0,2,1,True,
Emrtz,Brandin Cooks,WR,2,2,6,5,False,Ineligible. Reached years kept limit of 2
Emrtz,Tyler Boyd,WR,0,0,11,10,True,
Emrtz,Matthew Stafford,QB,0,0,9,8,True,
Emrtz,DJ Chark,WR,0,0,14,13,True,
Emrtz,Gus Edwards,RB,0,0,16,15,True,
Emrtz,T.J. Hockenson,TE,1,1,8,7,True,
Emrtz,Devin Singletary,RB,0,0,12,11,True,
Emrtz,Trevor Lawrence,QB,0,0,1,0,False,Ineligible. Drafted in first round.
Emrtz,Chuba Hubbard,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Emrtz,Dameon Pierce,RB,0,0,3,2,True,
Emrtz,George Pickens,WR,1,1,7,6,True,
Emrtz,James Cook,RB,0,0,5,4,True,
Emrtz,Kendre Miller,RB,0,0,13,12,True,
Emrtz,Pittsburgh Steelers,DEF,0,0,15,14,True,
angeltorres363,Keenan Allen,WR,0,0,3,2,True,
angeltorres363,Derek Carr,QB,2,2,9,8,False,Ineligible. Reached years kept limit of 2
angeltorres363,Stefon Diggs,WR,0,0,2,1,True,
angeltorres363,Jared Goff,QB,0,0,5,4,True,
angeltorres363,Hunter Henry,TE,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
angeltorres363,Tyler Higbee,TE,1,1,14,13,True,
angeltorres363,Tyreek Hill,WR,1,1,1,0,False,Ineligible. Drafted in first round.
angeltorres363,Kendrick Bourne,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
angeltorres363,Marquise Brown,WR,0,0,7,6,True,
angeltorres363,Justice Hill,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
angeltorres363,D'Andre Swift,RB,0,0,6,5,True,
angeltorres363,Tutu Atwell,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
angeltorres363,Jake Ferguson,TE,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
angeltorres363,Rachaad White,RB,0,0,8,7,True,
angeltorres363,Breece Hall,RB,0,0,4,3,True,
angeltorres363,Jacksonville Jaguars,DEF,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
TexAgg10,Dak Prescott,QB,2,2,4,3,False,Ineligible. Reached years kept limit of 2
TexAgg10,James Conner,RB,2,2,7,6,False,Ineligible. Reached years kept limit of 2
TexAgg10,Christian Kirk,WR,2,2,13,12,False,Ineligible. Reached years kept limit of 2
TexAgg10,A.J. Brown,WR,0,0,2,1,True,
TexAgg10,Damien Harris,RB,0,0,12,11,True,
TexAgg10,Diontae Johnson,WR,0,0,6,5,True,
TexAgg10,Miles Sanders,RB,0,0,5,4,True,
TexAgg10,AJ Dillon,RB,0,0,10,9,True,
TexAgg10,Jalen Hurts,QB,1,1,1,0,False,Ineligible. Drafted in first round.
TexAgg10,Kyle Pitts,TE,0,0,10,9,True,
TexAgg10,Rondale Moore,WR,0,0,14,13,True,
TexAgg10,Garrett Wilson,WR,1,1,9,8,True,
TexAgg10,Rashid Shaheed,WR,0,0,15,14,True,
TexAgg10,Jahmyr Gibbs,RB,0,0,3,2,True,
TexAgg10,Bryce Young,QB,0,0,8,7,True,
TexAgg10,Baltimore Ravens,DEF,0,0,16,15,True,
ThinkSchwartz,Ryan Tannehill,QB,0,0,12,11,True,
ThinkSchwartz,Josh Reynolds,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
ThinkSchwartz,George Kittle,TE,0,0,8,7,True,
