player_name,display_name,years_kept
DK Metcalf,Diablocan2,2
Jonathan Taylor,ThinkSchwartz,1
C.J. Stroud,ThinkSchwartz,1
Calvin Ridley,ThinkSchwartz,2
Baker Mayfield,ThinkSchwartz,1
DeVonta Smith,bh0wdy,2
Puka Nacua,bh0wdy,1
Rashee Rice,bh0wdy,1
Raheem Mostert,bh0wdy,2
A.J. Brown,TexAgg10,1
Jahmyr Gibbs,TexAgg10,1
Garrett Wilson,TexAgg10,2
Kyle Pitts,TexAgg10,1
Jalen Hurts,TexAgg10,1
De'Von Achane,Robbietee,1
Nico Collins,Robbietee,1
Tank Dell,Robbietee,1
Devin Singletary,Emrtz,1
Amon-Ra St. Brown,Ninked,2
Brian Robinson,Ninked,2
Mike Evans,chilliah,1
Sam LaPorta,chilliah,1
Travis Etienne,Andjita,1
Brandon Aiyuk,Andjita,1
Jordan Love,Andjita,1
Kyler Murray,Andjita,1
Anthony Richardson,MeatWizard,1
Chris Olave,MeatWizard,2
Kyren Williams,MeatWizard,1
Brock Purdy,Furl,1
Breece Hall,angeltorres363,1
Rachaad White,angeltorres363,1
