player_name,display_name,years_kept
Aaron Jones,Trickydick514,1
Justin Fields,Trickydick514,1
DK Metcalf,Trickydick514,1
Isiah Pacheco,Trickydick514,1
Kenneth Walker,ThinkSchwartz,2
Drake London,ThinkSchwartz,2
Calvin Ridley,ThinkSchwartz,1
JuJu Smith-Schuster,bh0wdy,1
DeVonta Smith,bh0wdy,1
Raheem Mostert,bh0wdy,1
James Conner,TexAgg10,2
Dak Prescott,TexAgg10,2
Christian Kirk,TexAgg10,2
Garrett Wilson,TexAgg10,1
Jalen Hurts,TexAgg10,1
Buffalo Bills,Robbietee,2
George Pickens,Emrtz,1
Brandin Cooks,Emrtz,2
T.J. Hockenson,Emrtz,1
Amon-Ra St. Brown,Ninked,1
Tony Pollard,Ninked,1
Brian Robinson,Ninked,1
Deshaun Watson,chilliah,1
Jamaal Williams,chilliah,1
Rashod Bateman,chilliah,1
Cam Akers,Andjita,2
Saquon Barkley,MeatWizard,1
Jaylen Waddle,MeatWizard,2
DeAndre Hopkins,MeatWizard,1
Chris Olave,MeatWizard,1
Rhamondre Stevenson,MeatWizard,2
Michael Gallup,Furl,1
Kenny Pickett,Furl,1
Alexander Mattison,Furl,2
Tyreek Hill,angeltorres363,1
Derek Carr,angeltorres363,2
Tyler Higbee,angeltorres363,1
