Owner,Player,Position,Old Years Kept,New Years Kept,Draft Round,Keeper Cost,Eligible,Note
Emrtz,Antonio Brown,WR,0,0,10,9,True,
Emrtz,DK Metcalf,WR,1,1,2,1,True,
Emrtz,Justin Jefferson,WR,1,1,2,1,True,
Emrtz,Justin Herbert,QB,0,0,6,5,True,
Emrtz,Darnell Mooney,WR,0,0,11,10,True,
Emrtz,Najee Harris,RB,0,0,3,2,True,
Emrtz,Julio Jones,WR,0,0,6,5,False,Ineligible. Added after trade deadline.
Emrtz,Philadelphia Eagles,DEF,0,0,9,8,False,Ineligible. Added after trade deadline.
gocampo3619,Devonta Freeman,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
gocampo3619,Tyler Lockett,WR,0,0,6,5,True,
gocampo3619,Michael Thomas,WR,0,0,4,3,True,
gocampo3619,Dare Ogunbowale,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
gocampo3619,Mark Andrews,TE,0,0,5,4,True,
gocampo3619,Damien Harris,RB,1,1,1,0,False,Ineligible. Drafted in first round.
gocampo3619,Dawson Knox,TE,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
gocampo3619,Terry McLaurin,WR,0,0,5,4,True,
gocampo3619,Myles Gaskin,RB,1,1,1,0,False,Ineligible. Drafted in first round.
gocampo3619,Ty Johnson,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
gocampo3619,Kyle Pitts,TE,0,0,4,3,True,
gocampo3619,Ja'Marr Chase,WR,0,0,7,6,True,
gocampo3619,Rashod Bateman,WR,0,0,9,8,False,Ineligible. Added after trade deadline.
gocampo3619,Michael Carter,RB,0,0,10,9,True,
gocampo3619,Cam Newton,QB,0,0,9,8,False,Ineligible. Added after trade deadline.
gocampo3619,Indianapolis Colts,DEF,0,0,7,6,False,Ineligible. Added after trade deadline.
RazorMuffin,Ryan Tannehill,QB,0,0,10,9,True,
RazorMuffin,Russell Wilson,QB,1,1,2,1,True,
RazorMuffin,Giovani Bernard,RB,0,0,15,14,True,
RazorMuffin,Adam Thielen,WR,0,0,6,5,True,
RazorMuffin,Amari Cooper,WR,0,0,6,5,True,
RazorMuffin,Alvin Kamara,RB,1,1,2,1,True,
RazorMuffin,Chris Godwin,WR,0,0,5,4,True,
RazorMuffin,Mike Gesicki,TE,0,0,9,8,True,
RazorMuffin,Noah Fant,TE,0,0,5,4,True,
RazorMuffin,Darrell Henderson,RB,1,1,2,1,True,
