Owner,Player,Position,Years Kept,Draft Cost($) 2023,Keeper Cost($) 2024,Eligible,Note
TurkeySwift,Jayden Reed,WR,0,1,7,True,
TurkeySwift,Rashee Rice,WR,0,1,7,True,
TurkeySwift,Travis Kelce,TE,1,58,70,True,
TurkeySwift,Jerick McKinnon,RB,0,2,8,True,
TurkeySwift,Derrick Henry,RB,0,47,58,True,
TurkeySwift,Chris Godwin,WR,0,21,29,True,
TurkeySwift,D'Onta Foreman,RB,0,1,7,True,
TurkeySwift,Kendrick Bourne,WR,0,0,14,True,Player not drafted. Set keeper cost to positional average
TurkeySwift,Josh Allen,QB,2,39,49,False,Ineligible. Reached years kept limit of 2
TurkeySwift,Michael Gallup,WR,0,1,7,True,
TurkeySwift,D'Andre Swift,RB,0,20,28,True,
TurkeySwift,Rondale Moore,WR,0,1,7,True,
TurkeySwift,Michael Mayer,TE,0,1,7,True,
TurkeySwift,C.J. Stroud,QB,0,1,7,True,
TurkeySwift,Miami Dolphins,DEF,0,1,7,True,
Andjita,Kareem Hunt,RB,0,1,7,True,
Andjita,Samaje Perine,RB,0,3,9,True,
Andjita,Saquon Barkley,RB,0,52,63,True,
Andjita,Dallas Goedert,TE,0,10,17,True,
Andjita,Tony Pollard,RB,1,14,21,True,
Andjita,CeeDee Lamb,WR,0,45,56,True,
Andjita,Tee Higgins,WR,0,31,40,True,
Andjita,Gabe Davis,WR,0,11,18,True,
Andjita,Trevor Lawrence,QB,0,12,19,True,
Andjita,Nico Collins,WR,0,1,7,True,
Andjita,Jahan Dotson,WR,0,7,14,True,
Andjita,Romeo Doubs,WR,0,1,7,True,
Andjita,Jaylen Warren,RB,0,1,7,True,
Andjita,Marvin Mims,WR,0,2,8,True,
Andjita,New York Jets,DEF,0,2,8,True,
Ninked,Jonathan Mingo,WR,0,2,8,True,
Ninked,Davante Adams,WR,0,43,53,True,
Ninked,Tyler Boyd,WR,0,2,8,True,
Ninked,Joe Mixon,RB,0,35,44,True,
Ninked,Patrick Mahomes,QB,1,30,39,True,
Ninked,Matt Breida,RB,0,0,18,True,Player not drafted. Set keeper cost to positional average
Ninked,Mark Andrews,TE,0,28,37,True,
Ninked,Van Jefferson,WR,0,2,8,True,
Ninked,Amon-Ra St. Brown,WR,2,14,21,False,Ineligible. Reached years kept limit of 2
Ninked,Rashod Bateman,WR,0,2,8,True,
Ninked,Tyler Allgeier,RB,1,7,14,True,
Ninked,Bryce Young,QB,0,2,8,True,
