player_name,display_name,years_kept
Jonathan Taylor,GizzleGotEm,1
Breece Hall,GizzleGotEm,1
Jahmyr Gibbs,JbMcc13,1
Drake London,JbMcc13,1
Sam LaPorta,JbMcc13,1
Rhamondre Stevenson,kruse47,1
Brandon Aiyuk,kruse47,1
DeVonta Smith,kruse47,1
Josh Allen,Trickydick514,2
Travis Kelce,Trickydick514,1
Kyren Williams,Emrtz,1
De'Von Achane,chilliah,1
Raheem Mostert,chilliah,1
Josh Jacobs,Robbietee,2
CeeDee Lamb,Andjita,1
Nico Collins,Andjita,1
Tua Tagovailoa,larrrl,1
Rachaad White,MeatWizard,2
Puka Nacua,MeatWizard,1
Dalton Kincaid,MeatWizard,1
Brock Purdy,gnemos,1
Mike Evans,gnemos,1
Kirk Cousins,gnemos,1
