Owner,Player,Position,Years Kept,Draft Cost($) 2022,Keeper Cost($) 2023,Eligible,Note
Andjita,Adam Thielen,WR,0,12,19,True,
Andjita,Brandin Cooks,WR,1,13,20,True,
Andjita,Tyler Higbee,TE,0,1,7,True,
Andjita,Chris Godwin,WR,0,11,18,True,
Andjita,DJ Moore,WR,0,31,40,True,
Andjita,Chase Edmonds,RB,0,14,21,True,
Andjita,Courtland Sutton,WR,0,21,29,True,
Andjita,Damien Harris,RB,0,9,16,True,
Andjita,Tony Pollard,RB,0,7,14,True,
Andjita,J.K. Dobbins,RB,1,7,14,True,
Andjita,Jonathan Taylor,RB,2,47,58,False,Ineligible. Reached years kept limit of 2
Andjita,Gabe Davis,WR,0,9,16,True,
Andjita,Justin Fields,QB,0,1,7,True,
Andjita,Khalil Herbert,RB,0,16,24,True,
Andjita,Tampa Bay Buccaneers,DEF,0,1,7,True,
Ninked,Zach Ertz,TE,0,6,13,True,
Ninked,Mike Evans,WR,0,35,44,True,
Ninked,Melvin Gordon,RB,0,3,9,True,
Ninked,Tyler Boyd,WR,0,1,7,True,
Ninked,Dalvin Cook,RB,0,59,71,True,
Ninked,Patrick Mahomes,QB,0,22,30,True,
Ninked,Allen Lazard,WR,0,4,10,True,
Ninked,Alexander Mattison,RB,0,3,9,True,
Ninked,CeeDee Lamb,WR,2,21,29,False,Ineligible. Reached years kept limit of 2
Ninked,Antonio Gibson,RB,0,14,21,True,
Ninked,Amon-Ra St. Brown,WR,1,7,14,True,
Ninked,Javonte Williams,RB,1,22,30,True,
Ninked,Tyler Allgeier,RB,0,1,7,True,
Ninked,Zamir White,RB,0,1,7,True,
Ninked,Jameson Williams,WR,0,1,7,True,
Ninked,Tennessee Titans,DEF,0,0,2,True,Player not drafted. Set keeper cost to positional average
chilliah,DeVante Parker,WR,0,1,7,True,
chilliah,Derrick Henry,RB,0,62,74,True,
chilliah,Leonard Fournette,RB,0,42,52,True,
chilliah,JuJu Smith-Schuster,WR,0,11,18,True,
chilliah,Christian Kirk,WR,0,6,13,True,
chilliah,Nyheim Hines,RB,0,3,9,True,
chilliah,Hunter Renfrow,WR,1,13,20,True,
chilliah,Irv Smith,TE,0,2,8,True,
chilliah,Tee Higgins,WR,2,24,32,False,Ineligible. Reached years kept limit of 2
chilliah,Jalen Hurts,QB,0,12,19,True,
chilliah,K.J. Osborn,WR,0,1,7,True,
chilliah,Elijah Mitchell,RB,1,18,26,True,
chilliah,Rondale Moore,WR,0,1,7,True,
chilliah,Tyrion Davis-Price,RB,0,1,7,True,
chilliah,New England Patriots,DEF,0,1,7,True,
MeatWizard,Keenan Allen,WR,0,26,35,True,
MeatWizard,Allen Robinson,WR,0,18,26,True,
MeatWizard,Davante Adams,WR,0,48,59,True,
MeatWizard,Jerick McKinnon,RB,0,1,7,True,
MeatWizard,David Njoku,TE,0,1,7,True,
MeatWizard,James Conner,RB,1,14,21,True,
MeatWizard,Kyler Murray,QB,0,8,15,True,
MeatWizard,Darrell Henderson,RB,0,4,10,True,
MeatWizard,Diontae Johnson,WR,0,17,25,True,
MeatWizard,Michael Pittman,WR,1,14,21,True,
MeatWizard,AJ Dillon,RB,0,22,30,True,
MeatWizard,Cam Akers,RB,1,18,26,True,
MeatWizard,Christian Watson,WR,0,1,7,True,
MeatWizard,Isiah Pacheco,RB,0,3,9,True,
MeatWizard,Denver Broncos,DEF,0,1,7,True,
Trickydick514,Rex Burkhead,RB,0,0,19,True,Player not drafted. Set keeper cost to positional average
Trickydick514,Travis Kelce,TE,0,47,58,True,
Trickydick514,Amari Cooper,WR,0,11,18,True,
Trickydick514,Stefon Diggs,WR,0,29,38,True,
Trickydick514,Ezekiel Elliott,RB,0,38,48,True,
Trickydick514,DJ Chark,WR,0,1,7,True,
Trickydick514,Josh Allen,QB,0,30,39,True,
Trickydick514,Marquez Valdes-Scantling,WR,0,2,8,True,
Trickydick514,Jalen Tolbert,WR,0,1,7,True,
Trickydick514,Jahan Dotson,WR,0,1,7,True,
Trickydick514,Romeo Doubs,WR,0,2,8,True,
Trickydick514,Isaiah Spiller,RB,0,5,11,True,
Trickydick514,Breece Hall,RB,0,28,37,True,
Trickydick514,Mark Ingram,RB,0,3,9,True,
Trickydick514,Cincinnati Bengals,DEF,0,0,2,True,Player not drafted. Set keeper cost to positional average
Emrtz,Tom Brady,QB,0,1,7,True,
Emrtz,Mike Williams,WR,2,14,21,False,Ineligible. Reached years kept limit of 2
