Owner,Player,Position,Years Kept,Draft Cost($) 2022,Keeper Cost($) 2023,Eligible,Note
Emrtz,Dallas Goedert,TE,0,11,18,True,
Emrtz,A.J. Brown,WR,0,28,37,True,
Emrtz,Benny Snell,RB,0,1,7,True,
Emrtz,Justin Jefferson,WR,2,14,21,False,Ineligible. Reached years kept limit of 2
Emrtz,Najee Harris,RB,0,53,64,True,
Emrtz,Travis Etienne,RB,0,38,48,True,
Emrtz,Kenneth Gainwell,RB,0,4,10,True,
Emrtz,Rashod Bateman,WR,0,11,18,True,
Emrtz,Drake London,WR,0,4,10,True,
Emrtz,Treylon Burks,WR,0,3,9,True,
Emrtz,George Pickens,WR,0,5,11,True,
Emrtz,Aaron Rodgers,QB,0,3,9,True,
Emrtz,Washington Commanders,DEF,0,0,2,True,Player not drafted. Set keeper cost to positional average
younggizzle,Kirk Cousins,QB,0,2,8,True,
younggizzle,Mike Davis,RB,0,0,19,True,Player not drafted. Set keeper cost to positional average
younggizzle,Tyreek Hill,WR,0,40,50,True,
younggizzle,Joe Mixon,RB,0,51,62,True,
younggizzle,George Kittle,TE,0,18,26,True,
younggizzle,Rashaad Penny,RB,0,11,18,True,
younggizzle,Mark Andrews,TE,1,22,30,True,
younggizzle,Tua Tagovailoa,QB,0,1,7,True,
younggizzle,Kyle Pitts,TE,1,27,36,True,
younggizzle,Ja'Marr Chase,WR,1,16,24,True,
younggizzle,Alec Pierce,WR,0,1,7,True,
younggizzle,Chris Olave,WR,0,3,9,True,
younggizzle,Kenneth Walker,RB,0,3,9,True,
younggizzle,Brian Robinson,RB,0,1,7,True,
younggizzle,Julio Jones,WR,0,2,8,True,
younggizzle,Buffalo Bills,DEF,0,2,8,True,
RazorMuffin,Russell Wilson,QB,2,33,42,False,Ineligible. Reached years kept limit of 2
RazorMuffin,Odell Beckham,WR,0,1,7,True,
RazorMuffin,Tevin Coleman,RB,0,8,15,True,
RazorMuffin,Darren Waller,TE,0,13,20,True,
RazorMuffin,Hunter Henry,TE,0,1,7,True,
RazorMuffin,J.D. McKissic,RB,0,1,7,True,
RazorMuffin,Alvin Kamara,RB,2,82,96,False,Ineligible. Reached years kept limit of 2
RazorMuffin,Isaiah McKenzie,WR,0,1,7,True,
RazorMuffin,Michael Gallup,WR,0,1,7,True,
RazorMuffin,Josh Jacobs,RB,0,20,28,True,
RazorMuffin,Jerry Jeudy,WR,1,18,26,True,
RazorMuffin,Clyde Edwards-Helaire,RB,0,10,17,True,
RazorMuffin,Trevor Lawrence,QB,0,1,7,True,
RazorMuffin,A.J. Green,WR,0,0,12,True,Player not drafted. Set keeper cost to positional average
RazorMuffin,Los Angeles Chargers,DEF,0,1,7,True,
JbMcc3,Robert Woods,WR,0,7,14,True,
JbMcc3,Derek Carr,QB,0,2,8,True,
JbMcc3,Michael Thomas,WR,0,16,24,True,
JbMcc3,Saquon Barkley,RB,0,46,57,True,
JbMcc3,T.J. Hockenson,TE,0,9,16,True,
JbMcc3,DK Metcalf,WR,0,14,21,True,
JbMcc3,Marquise Brown,WR,1,7,14,True,
JbMcc3,David Montgomery,RB,0,27,36,True,
JbMcc3,Miles Sanders,RB,0,12,19,True,
JbMcc3,D'Andre Swift,RB,2,25,33,False,Ineligible. Reached years kept limit of 2
JbMcc3,Justin Herbert,QB,0,15,22,True,
JbMcc3,James Robinson,RB,0,6,13,True,
JbMcc3,Elijah Moore,WR,1,8,15,True,
JbMcc3,Skyy Moore,WR,0,5,11,True,
JbMcc3,New Orleans Saints,DEF,0,1,7,True,
kruse47,Cooper Kupp,WR,1,30,39,True,
kruse47,Kareem Hunt,RB,0,7,14,True,
kruse47,Austin Ekeler,RB,1,51,62,True,
kruse47,Lamar Jackson,QB,0,12,19,True,
kruse47,Dalton Schultz,TE,1,10,17,True,
kruse47,Terry McLaurin,WR,0,20,28,True,
kruse47,Devin Singletary,RB,0,7,14,True,
kruse47,Brandon Aiyuk,WR,0,6,13,True,
kruse47,Darnell Mooney,WR,0,11,18,True,
kruse47,DeVonta Smith,WR,0,4,10,True,
kruse47,Michael Carter,RB,0,5,11,True,
kruse47,Trey Lance,QB,0,3,9,True,
kruse47,Rhamondre Stevenson,RB,0,4,10,True,
kruse47,Dameon Pierce,RB,0,19,27,True,
kruse47,Indianapolis Colts,DEF,0,2,8,True,
larrrl,Cordarrelle Patterson,RB,0,8,15,True,
larrrl,Tyler Lockett,WR,0,3,9,True,
larrrl,Aaron Jones,RB,0,48,59,True,
larrrl,Nick Chubb,RB,0,42,52,True,
larrrl,Deebo Samuel,WR,1,17,25,True,
larrrl,Dawson Knox,TE,0,4,10,True,
larrrl,Joe Burrow,QB,0,9,16,True,
larrrl,Cole Kmet,TE,0,3,9,True,
larrrl,Chase Claypool,WR,0,2,8,True,
larrrl,Jaylen Waddle,WR,1,14,21,True,
larrrl,Nico Collins,WR,0,6,13,True,
larrrl,Kadarius Toney,WR,0,2,8,True,
larrrl,James Cook,RB,0,8,15,True,
larrrl,Garrett Wilson,WR,0,3,9,True,
larrrl,Baltimore Ravens,DEF,0,1,7,True,
gnemos,DeAndre Hopkins,WR,2,69,82,False,Ineligible. Reached years kept limit of 2
gnemos,Jarvis Landry,WR,0,1,7,True,
gnemos,Dak Prescott,QB,0,9,16,True,
gnemos,Christian McCaffrey,RB,0,68,81,True,
gnemos,Corey Davis,WR,2,24,32,False,Ineligible. Reached years kept limit of 2
gnemos,Jamaal Williams,RB,0,1,7,True,
gnemos,Matthew Stafford,QB,0,1,7,True,
gnemos,Sony Michel,RB,2,16,24,False,Ineligible. Reached years kept limit of 2
gnemos,Mike Gesicki,TE,0,3,9,True,
gnemos,Russell Gage,WR,0,1,7,True,
gnemos,Mecole Hardman,WR,0,0,12,True,Player not drafted. Set keeper cost to positional average
gnemos,Jakobi Meyers,WR,0,1,7,True,
gnemos,Pat Freiermuth,TE,0,2,8,True,
gnemos,Jordan Mason,RB,0,0,19,True,Player not drafted. Set keeper cost to positional average
gnemos,San Francisco 49ers,DEF,0,1,7,True,
