Owner,Player,Position,Old Years Kept,New Years Kept,Draft Round 2022,Keeper Cost 2023,Eligible,Note
ThinkSchwartz,Pat Freiermuth,TE,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
ThinkSchwartz,Drake London,WR,0,0,7,6,True,
ThinkSchwartz,Tyler Allgeier,RB,0,0,13,12,True,
ThinkSchwartz,Kenneth Walker,RB,0,0,7,6,True,
ThinkSchwartz,Baltimore Ravens,DEF,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
RazorMuffin,Zach Ertz,TE,0,0,8,7,True,
RazorMuffin,Geno Smith,QB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
RazorMuffin,Sammy Watkins,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
RazorMuffin,Darren Waller,TE,0,0,5,4,True,
RazorMuffin,Raheem Mostert,RB,0,0,16,15,True,
RazorMuffin,Ezekiel Elliott,RB,0,0,3,2,True,
RazorMuffin,JuJu Smith-Schuster,WR,0,0,6,5,True,
RazorMuffin,O.J. Howard,TE,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
RazorMuffin,Mike Boone,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
RazorMuffin,Jerry Jeudy,WR,2,2,9,8,False,Ineligible. Reached years kept limit of 2
RazorMuffin,CeeDee Lamb,WR,1,1,1,0,False,Ineligible. Drafted in first round.
RazorMuffin,DeVonta Smith,WR,0,0,7,6,True,
RazorMuffin,Zach Wilson,QB,0,0,10,9,True,
RazorMuffin,Nico Collins,WR,0,0,15,14,True,
RazorMuffin,Davis Mills,QB,0,0,11,10,True,
RazorMuffin,Washington Commanders,DEF,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Furl,Travis Kelce,TE,0,0,2,1,True,
Furl,Jimmy Garoppolo,QB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Furl,Michael Gallup,WR,0,0,10,9,True,
Furl,Courtland Sutton,WR,0,0,4,3,True,
Furl,Marquez Valdes-Scantling,WR,0,0,9,8,True,
Furl,Marquise Brown,WR,0,0,5,4,False,Ineligible. Added after trade deadline.
Furl,Parris Campbell,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Furl,Terry McLaurin,WR,0,0,5,4,True,
Furl,Alexander Mattison,RB,1,1,13,12,True,
Furl,Ty Johnson,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
Furl,Miles Sanders,RB,0,0,7,6,True,
Furl,Brandon Aiyuk,WR,2,2,12,11,False,Ineligible. Reached years kept limit of 2
Furl,Elijah Mitchell,RB,1,1,8,7,True,
Furl,Kenny Pickett,QB,0,0,11,10,True,"Player traded, keeper value reset."
Furl,Brock Purdy,QB,0,0,9,8,False,Ineligible. Added after trade deadline.
Furl,Kansas City Chiefs,DEF,0,0,16,15,False,Ineligible. Added after trade deadline.
Robbietee,Cordarrelle Patterson,RB,0,0,8,7,True,
Robbietee,Davante Adams,WR,0,0,2,1,True,
Robbietee,Amari Cooper,WR,0,0,7,6,True,
Robbietee,David Njoku,TE,0,0,13,12,True,
Robbietee,Lamar Jackson,QB,0,0,1,0,False,Ineligible. Drafted in first round.
Robbietee,Baker Mayfield,QB,0,0,11,10,False,Ineligible. Added after trade deadline.
Robbietee,Mike Gesicki,TE,0,0,15,14,True,
Robbietee,Russell Gage,WR,0,0,11,10,True,
Robbietee,Josh Jacobs,RB,0,0,5,4,True,
Robbietee,Dawson Knox,TE,0,0,10,9,True,
Robbietee,Antonio Gibson,RB,0,0,6,5,True,
Robbietee,Tony Jones,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
Robbietee,Ben Skowronek,WR,0,0,9,8,False,Ineligible. Added after trade deadline.
Robbietee,Aaron Rodgers,QB,0,0,3,2,True,
Robbietee,Buffalo Bills,DEF,1,1,9,8,True,
Robbietee,New York Giants,DEF,0,0,9,8,False,Ineligible. Added after trade deadline.
