Owner,Player,Position,Old Years Kept,New Years Kept,Draft Round 2022,Keeper Cost 2023,Eligible,Note
Andjita,Tyler Lockett,WR,0,0,9,8,True,
Andjita,Derrick Henry,RB,1,1,3,2,True,
Andjita,Alvin Kamara,RB,0,0,2,1,True,
Andjita,Chris Godwin,WR,0,0,5,4,True,
Andjita,Patrick Mahomes,QB,0,0,1,0,False,Ineligible. Drafted in first round.
Andjita,Mark Andrews,TE,0,0,2,1,True,
Andjita,Gus Edwards,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Andjita,Gardner Minshew,QB,0,0,9,8,False,Ineligible. Added after trade deadline.
Andjita,Darius Slayton,WR,0,0,9,8,False,Ineligible. Added after trade deadline.
Andjita,Tua Tagovailoa,QB,0,0,4,3,True,
Andjita,D'Andre Swift,RB,2,2,6,5,False,Ineligible. Reached years kept limit of 2
Andjita,Michael Pittman,WR,0,0,4,3,True,
Andjita,Cam Akers,RB,1,1,15,14,True,
Andjita,Ja'Marr Chase,WR,0,0,1,0,False,Ineligible. Drafted in first round.
Andjita,Jameson Williams,WR,0,0,13,12,True,
Andjita,Los Angeles Chargers,DEF,0,0,16,15,False,Ineligible. Added after trade deadline.
Ninked,Robert Woods,WR,0,0,7,6,False,Ineligible. Added after trade deadline.
Ninked,Stefon Diggs,WR,0,0,2,1,True,
Ninked,George Kittle,TE,0,0,4,3,True,
Ninked,Austin Ekeler,RB,0,0,1,0,False,Ineligible. Drafted in first round.
Ninked,Allen Lazard,WR,0,0,9,8,True,
Ninked,Tony Pollard,RB,0,0,8,7,True,
Ninked,Chase Claypool,WR,2,2,12,11,False,Ineligible. Reached years kept limit of 2
Ninked,James Robinson,RB,2,2,13,12,False,Ineligible. Reached years kept limit of 2
Ninked,Trevor Lawrence,QB,0,0,5,4,True,
Ninked,Mac Jones,QB,0,0,6,5,False,Ineligible. Added after trade deadline.
Ninked,Amon-Ra St. Brown,WR,0,0,6,5,True,
Ninked,Michael Carter,RB,0,0,10,9,True,
Ninked,Dameon Pierce,RB,0,0,7,6,True,
Ninked,Alec Pierce,WR,0,0,16,15,True,
Ninked,Brian Robinson,RB,0,0,15,14,True,
Ninked,New Orleans Saints,DEF,0,0,16,15,False,Ineligible. Added after trade deadline.
Ninked,Tennessee Titans,DEF,0,0,9,8,False,Ineligible. Added after trade deadline.
chilliah,Russell Wilson,QB,0,0,2,1,True,
chilliah,Adam Thielen,WR,0,0,6,5,True,
chilliah,Taylor Heinicke,QB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
chilliah,Deshaun Watson,QB,0,0,10,9,True,
chilliah,Zay Jones,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
chilliah,Curtis Samuel,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
chilliah,D'Onta Foreman,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
chilliah,Jamaal Williams,RB,0,0,13,12,True,
chilliah,Richie James,WR,0,0,9,8,False,Ineligible. Added after trade deadline.
chilliah,David Montgomery,RB,0,0,5,4,True,
chilliah,JaMycal Hasty,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
chilliah,Rashod Bateman,WR,1,0,15,15,True,"Player traded, keeper value reset."
chilliah,Kadarius Toney,WR,0,0,8,7,True,
chilliah,Christian Watson,WR,0,0,13,12,False,Ineligible. Added after trade deadline.
chilliah,Chigoziem Okonkwo,TE,0,0,9,8,False,Ineligible. Added after trade deadline.
chilliah,Jaylen Warren,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
chilliah,Pittsburgh Steelers,DEF,0,0,9,8,False,Ineligible. Added after trade deadline.
MeatWizard,DeAndre Hopkins,WR,0,0,8,7,True,
MeatWizard,Tom Brady,QB,0,0,3,2,True,
MeatWizard,Joe Mixon,RB,0,0,2,1,True,
MeatWizard,Evan Engram,TE,0,0,9,8,False,Ineligible. Added after trade deadline.
MeatWizard,Samaje Perine,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
MeatWizard,Saquon Barkley,RB,0,0,3,2,True,"Player traded, keeper value reset."
MeatWizard,Colt McCoy,QB,0,0,9,8,False,Ineligible. Added after trade deadline.
MeatWizard,Daniel Jones,QB,0,0,10,9,False,Ineligible. Added after trade deadline.
MeatWizard,Diontae Johnson,WR,1,1,4,3,True,
MeatWizard,AJ Dillon,RB,0,0,6,5,True,
MeatWizard,Jaylen Waddle,WR,1,1,7,6,True,
MeatWizard,Rhamondre Stevenson,RB,1,1,14,13,True,
MeatWizard,Treylon Burks,WR,0,0,8,7,False,Ineligible. Added after trade deadline.
MeatWizard,Rachaad White,RB,0,0,12,11,True,
MeatWizard,Chris Olave,WR,0,0,9,8,True,
MeatWizard,Breece Hall,RB,0,0,5,4,True,
MeatWizard,Dallas Cowboys,DEF,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Trickydick514,Gerald Everett,TE,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Trickydick514,Mack Hollins,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Trickydick514,Aaron Jones,RB,0,0,2,1,True,
Trickydick514,Sam Darnold,QB,0,0,9,8,False,Ineligible. Added after trade deadline.
Trickydick514,Hayden Hurst,TE,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Trickydick514,Josh Allen,QB,0,0,1,0,False,Ineligible. Drafted in first round.
Trickydick514,Dalton Schultz,TE,1,1,8,7,True,
Trickydick514,DK Metcalf,WR,0,0,5,4,True,
Trickydick514,Clyde Edwards-Helaire,RB,0,0,6,5,True,
Trickydick514,Devin Duvernay,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Trickydick514,Javonte Williams,RB,0,0,3,2,True,
Trickydick514,Justin Fields,QB,0,0,4,3,True,
Trickydick514,Elijah Moore,WR,0,0,7,6,True,
Trickydick514,James Cook,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
Trickydick514,Kyren Williams,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
Trickydick514,Isiah Pacheco,RB,0,0,13,12,True,
Trickydick514,Las Vegas Raiders,DEF,0,0,9,8,False,Ineligible. Added after trade deadline.
Emrtz,Kirk Cousins,QB,0,0,3,2,True,
Emrtz,Jerick McKinnon,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Emrtz,Brandin Cooks,WR,1,1,7,6,True,
Emrtz,Jared Goff,QB,0,0,12,11,True,
Emrtz,Mike Williams,WR,2,2,10,9,False,Ineligible. Reached years kept limit of 2
Emrtz,Kareem Hunt,RB,0,0,6,5,True,
Emrtz,Isaiah McKenzie,WR,0,0,13,12,True,
Emrtz,DJ Chark,WR,0,0,15,14,False,Ineligible. Added after trade deadline.
Emrtz,Nick Chubb,RB,0,0,2,1,True,
Emrtz,Jeff Wilson,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Emrtz,T.J. Hockenson,TE,0,0,9,8,True,
Emrtz,Deebo Samuel,WR,2,2,8,7,False,Ineligible. Reached years kept limit of 2
Emrtz,Justin Jefferson,WR,1,1,1,0,False,Ineligible. Drafted in first round.
Emrtz,J.K. Dobbins,RB,0,0,5,4,True,
Emrtz,George Pickens,WR,0,0,9,8,True,
Emrtz,Philadelphia Eagles,DEF,0,0,9,8,False,Ineligible. Added after trade deadline.
angeltorres363,Latavius Murray,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
angeltorres363,Jarvis Landry,WR,0,0,11,10,False,Ineligible. Added after trade deadline.
angeltorres363,Derek Carr,QB,1,1,10,9,True,
angeltorres363,Marcus Mariota,QB,0,0,12,11,True,
angeltorres363,Tyler Higbee,TE,0,0,15,14,True,
angeltorres363,Tyreek Hill,WR,0,0,2,1,True,
angeltorres363,Leonard Fournette,RB,1,1,6,5,True,
angeltorres363,Mike White,QB,0,0,9,8,False,Ineligible. Added after trade deadline.
angeltorres363,A.J. Brown,WR,0,0,3,2,True,
angeltorres363,Mecole Hardman,WR,0,0,16,15,True,
angeltorres363,Devin Singletary,RB,1,1,9,8,True,
angeltorres363,Benny Snell,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
angeltorres363,Van Jefferson,WR,0,0,16,15,True,
angeltorres363,Najee Harris,RB,0,0,1,0,False,Ineligible. Drafted in first round.
angeltorres363,Zonovan Knight,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
angeltorres363,Julio Jones,WR,0,0,12,11,False,Ineligible. Added after trade deadline.
angeltorres363,Arizona Cardinals,DEF,0,0,9,8,False,Ineligible. Added after trade deadline.
TexAgg10,Keenan Allen,WR,0,0,4,3,True,
TexAgg10,Mike Evans,WR,0,0,3,2,True,
TexAgg10,Melvin Gordon,RB,0,0,9,8,True,
TexAgg10,Tyler Boyd,WR,0,0,11,10,True,
TexAgg10,Dak Prescott,QB,1,1,5,4,True,
TexAgg10,Christian McCaffrey,RB,0,0,1,0,False,Ineligible. Drafted in first round.
TexAgg10,James Conner,RB,1,1,8,7,True,
TexAgg10,Christian Kirk,WR,1,1,14,13,True,
TexAgg10,Dallas Goedert,TE,0,0,13,12,True,
TexAgg10,Jakobi Meyers,WR,0,0,12,11,True,
TexAgg10,Jalen Hurts,QB,0,0,2,1,True,
TexAgg10,Gabe Davis,WR,0,0,6,5,True,
TexAgg10,Travis Etienne,RB,0,0,4,3,True,
TexAgg10,Garrett Wilson,WR,0,0,10,9,True,
TexAgg10,Andy Dalton,QB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
TexAgg10,San Francisco 49ers,DEF,0,0,16,15,True,
ThinkSchwartz,Rex Burkhead,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
ThinkSchwartz,Michael Thomas,WR,0,0,6,5,True,
ThinkSchwartz,Dalvin Cook,RB,0,0,1,0,False,Ineligible. Drafted in first round.
ThinkSchwartz,Calvin Ridley,WR,0,0,11,10,True,
ThinkSchwartz,DJ Moore,WR,0,0,4,3,True,
ThinkSchwartz,Joe Burrow,QB,0,0,2,1,True,
ThinkSchwartz,Justin Herbert,QB,2,2,12,11,False,Ineligible. Reached years kept limit of 2
ThinkSchwartz,Tee Higgins,WR,2,2,5,4,False,Ineligible. Reached years kept limit of 2
ThinkSchwartz,Jonathan Taylor,RB,2,2,3,2,False,Ineligible. Reached years kept limit of 2
ThinkSchwartz,Donovan Peoples-Jones,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
ThinkSchwartz,Zack Moss,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
ThinkSchwartz,Chuba Hubbard,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
