The YAFL 2.0 Eligible Keepers for 2019
MeatWizard is a little scope-creeping bitch
Delete these first 3 lines and it will import nice as a CSV.
Manager,Player_Name,Position,Keeper_Cost,Years_kept
TexAgg10,Christian McCaffrey,RB,0,0
TexAgg10,John Ross,WR,8,0
TexAgg10,Golden Tate,WR,13,0
TexAgg10,Mark Ingram,RB,4,0
TexAgg10,Aaron Rodgers,QB,2,0
TexAgg10,Los Angeles Rams,DEF,10,0
,*Gained a 2020 round 5 draft pick. Traded from MeatWizard,angeltorres363,Mohamed Sanu,WR,11,0
angeltorres363,T.Y. Hilton,WR,3,0
angeltorres363,Teddy Bridgewater,QB,8,0
angeltorres363,Carlos Hyde,RB,14,0
angeltorres363,Paul Richardson,WR,13,0
angeltorres363,Will Fuller,WR,5,0
angeltorres363,Kenyan Drake,RB,7,0
angeltorres363,Demarcus Robinson,WR,8,0
angeltorres363,Philip Rivers,QB,6,0
angeltorres363,Curtis Samuel,WR,8,0
angeltorres363,Zach Pascal,WR,8,0
angeltorres363,Greg Olsen,TE,13,0
angeltorres363,David Montgomery,RB,4,0
angeltorres363,Devin Singletary,RB,9,0
angeltorres363,Ted Ginn,WR,8,0
angeltorres363,Buffalo Bills,DEF,8,0
jimmicap,Nick Foles,QB,12,0
jimmicap,James White,RB,5,0
jimmicap,DeVante Parker,WR,15,0
jimmicap,David Johnson,RB,0,0
jimmicap,Julian Edelman,WR,3,0
jimmicap,Geronimo Allison,WR,9,0
jimmicap,Dalvin Cook,RB,1,0
jimmicap,Cooper Kupp,WR,4,0
jimmicap,Evan Engram,TE,6,0
jimmicap,Gerald Everett,TE,8,0
jimmicap,Tarik Cohen,RB,7,0
jimmicap,Baker Mayfield,QB,2,0
jimmicap,Sam Darnold,QB,8,0
jimmicap,Marquise Brown,WR,14,0
jimmicap,Alexander Mattison,RB,13,0
fliper2010,Russell Wilson,QB,4,0
fliper2010,Le'Veon Bell,RB,0,0
fliper2010,Trey Burton,TE,15,0
fliper2010,Jimmy Garoppolo,QB,6,0
fliper2010,Odell Beckham,WR,1,0
fliper2010,Tevin Coleman,RB,7,0
fliper2010,Tyler Boyd,WR,5,0
fliper2010,Corey Davis,WR,8,0
fliper2010,George Kittle,TE,2,0
fliper2010,Keke Coutee,WR,11,0
fliper2010,Mark Andrews,TE,14,0
fliper2010,James Washington,WR,9,0
fliper2010,Josh Jacobs,RB,3,0
fliper2010,Dion Lewis,RB,13,0
fliper2010,Andy Dalton,QB,12,0
fliper2010,Los Angeles Chargers,DEF,10,0
TxRider,Zach Ertz,TE,2,0
TxRider,Adrian Peterson,RB,9,0
TxRider,Brandin Cooks,WR,3,0
TxRider,Jameis Winston,QB,5,0
TxRider,Melvin Gordon,RB,6,0
TxRider,Duke Johnson,RB,9,0
TxRider,Ezekiel Elliott,RB,0,0
TxRider,Jacoby Brissett,QB,11,0
TxRider,Mike Williams,WR,7,0
TxRider,D.J. Chark,WR,8,0
TxRider,Nick Chubb,RB,1,0
TxRider,Kyler Murray,QB,4,0
TxRider,Diontae Johnson,WR,15,0
Whitton48,Rex Burkhead,RB,8,0
Whitton48,Larry Fitzgerald,WR,9,0
Whitton48,Todd Gurley,RB,1,0
Whitton48,Matt Ryan,QB,3,0
Whitton48,Drew Brees,QB,2,0
Whitton48,Michael Thomas,WR,0,0
Whitton48,Jordan Howard,RB,10,0
Whitton48,Ryan Fitzpatrick,QB,8,0
Whitton48,Brandon Allen,QB,8,0
Whitton48,Kareem Hunt,RB,14,0
Whitton48,DJ Moore,WR,4,0
Whitton48,Dante Pettis,WR,8,0
Whitton48,DK Metcalf,WR,11,0
Whitton48,LeSean McCoy,RB,5,0
Whitton48,Chicago Bears,DEF,6,0
Whitton48,New Orleans Saints,DEF,12,0
