The YAFL 2.0 Eligible Keepers for 2019
MeatWizard is a little scope-creeping bitch
Delete these first 3 lines and it will import nice as a CSV.
Manager,Player_Name,Position,Keeper_Cost,Years_kept
Andjita,Ryan Tannehill,QB,8,0
Andjita,Robert Woods,WR,3,0
Andjita,Travis Kelce,TE,1,0
Andjita,Latavius Murray,RB,9,0
Andjita,Keenan Allen,WR,2,0
Andjita,John Brown,WR,12,0
Andjita,Tyler Lockett,WR,4,0
Andjita,Dak Prescott,QB,5,0
Andjita,Alvin Kamara,RB,0,0
Andjita,Dede Westbrook,WR,7,0
Andjita,Matt Breida,RB,10,0
Andjita,Derrius Guice,RB,8,0
Andjita,Kyle Allen,QB,8,0
Andjita,New England Patriots,DEF,15,0
Ninked,Davante Adams,WR,0,0
Ninked,Tyrell Williams,WR,12,0
Ninked,J.D. McKissic,RB,8,0
Ninked,JuJu Smith-Schuster,WR,1,0
Ninked,Marlon Mack,RB,3,0
Ninked,Calvin Ridley,WR,4,0
Ninked,Josh Allen,QB,6,0
Ninked,Courtland Sutton,WR,8,0
Ninked,Royce Freeman,RB,10,0
Ninked,Kerryon Johnson,RB,2,0
Ninked,Phillip Lindsay,RB,5,0
Ninked,Nyheim Hines,RB,13,0
Ninked,Terry McLaurin,WR,8,0
chilliah,Amari Cooper,WR,3,0
chilliah,Jamison Crowder,WR,12,0
chilliah,Darren Waller,TE,8,0
chilliah,Deshaun Watson,QB,1,0
chilliah,Chris Carson,RB,2,0
chilliah,Austin Ekeler,RB,8,0
chilliah,Lamar Jackson,QB,5,0
chilliah,Sony Michel,RB,4,0
chilliah,Deebo Samuel,WR,14,0
chilliah,Julio Jones,WR,0,0
,*Lost a 2020 round 5 draft pick. Traded to angeltorres363,
MeatWizard,DeAndre Hopkins,WR,0,0
MeatWizard,Carson Wentz,QB,3,0
MeatWizard,Hunter Henry,TE,7,0
MeatWizard,Leonard Fournette,RB,2,0
MeatWizard,Joe Mixon,RB,1,0
MeatWizard,Chris Godwin,WR,4,0
MeatWizard,Patrick Mahomes,QB,0,0
MeatWizard,Jamaal Williams,RB,8,0
MeatWizard,Aaron Jones,RB,2,0
MeatWizard,Christian Kirk,WR,8,0
MeatWizard,Michael Gallup,WR,10,0
MeatWizard,Miles Sanders,RB,5,0
MeatWizard,Pittsburgh Steelers,DEF,8,0
Emrtz,Kirk Cousins,QB,6,0
Emrtz,Jarvis Landry,WR,5,0
Emrtz,Devonta Freeman,RB,2,0
Emrtz,Phillip Dorsett,WR,8,0
Emrtz,Stefon Diggs,WR,3,0
Emrtz,Jared Goff,QB,4,0
Emrtz,Sterling Shepard,WR,7,0
Emrtz,Tyreek Hill,WR,1,0
Emrtz,Peyton Barber,RB,11,0
Emrtz,James Conner,RB,0,0
Emrtz,Jaylen Samuels,RB,9,0
Emrtz,Emmanuel Sanders,WR,8,0
Trickydick514,Adam Thielen,WR,2,0
Trickydick514,Robby Anderson,WR,7,0
Trickydick514,Mitchell Trubisky,QB,6,0
Trickydick514,Kenny Golladay,WR,3,0
Trickydick514,Saquon Barkley,RB,0,0
Trickydick514,Ronald Jones,RB,12,0
Trickydick514,A.J. Brown,WR,8,0
Trickydick514,Preston Williams,WR,8,0
Trickydick514,Darius Slayton,WR,8,0
TexAgg10,Marvin Jones,WR,7,0
TexAgg10,Cole Beasley,WR,8,0
TexAgg10,DeSean Jackson,WR,10,0
TexAgg10,Kenny Stills,WR,8,0
TexAgg10,Tom Brady,QB,5,0
TexAgg10,Sammy Watkins,WR,8,0
TexAgg10,Allen Robinson,WR,6,0
TexAgg10,Derek Carr,QB,11,0
TexAgg10,Mike Evans,WR,1,0
TexAgg10,Derrick Henry,RB,3,0
TexAgg10,Austin Hooper,TE,12,0
