player_name,display_name,years_kept
Travis Kelce,Trickydick514,1
Josh Allen,Trickydick514,1
A.J. Brown,Trickydick514,2
Kyler Murray,TxRider,2
Jonathan Taylor,TxRider,1
Tee Higgins,TxRider,1
Damien Harris,TxRider,1
Justin Herbert,TxRider,1
Jerry Jeudy,RazorMuffin,1
Darrell Henderson,RazorMuffin,1
Derrick Henry,TexAgg10,2
Allen Robinson,TexAgg10,2
T.J. Hockenson,TexAgg10,1
Cooper Kupp,Robbietee,2
Marquise Brown,Robbietee,2
DK Metcalf,Emrtz,1
Antonio Gibson,Emrtz,1
Deebo Samuel,Emrtz,1
Mike Williams,Emrtz,1
Calvin Ridley,Ninked,2
Courtland Sutton,Ninked,2
Terry McLaurin,Ninked,2
Chase Claypool,Ninked,1
James Robinson,Ninked,1
Lamar Jackson,chilliah,2
Darren Waller,chilliah,2
Austin Ekeler,chilliah,2
Chase Edmonds,chilliah,1
Dak Prescott,Andjita,2
D'Andre Swift,Andjita,1
Myles Gaskin,Andjita,1
Brandon Aiyuk,Andjita,1
