player_name,display_name,years_kept
Jonathan Taylor,ThinkSchwartz,2
C.J. Stroud,ThinkSchwartz,2
Trey McBride,ThinkSchwartz,1
Baker Mayfield,ThinkSchwartz,2
Justin Herbert,bh0wdy,1
Puka Nacua,bh0wdy,2
D'Andre Swift,bh0wdy,1
Ricky Pearsall,bh0wdy,1
Chase Brown,TexAgg10,1
Jahmyr Gibbs,TexAgg10,2
Josh Downs,TexAgg10,1
Nico Collins,Robbietee,2
Saquon Barkley,Emrtz,1
Jameson Williams,Emrtz,1
J.K. Dobbins,Emrtz,1
Drake Maye,Ninked,1
Derrick Henry,Ninked,1
Josh Jacobs,Ninked,1
Brock Bowers,Ninked,1
Ladd McConkey,Ninked,1
Jayden Daniels,chilliah,1
James Conner,chilliah,1
Brian Thomas,chilliah,1
Sam Darnold,chilliah,1
Jordan Love,Andjita,2
Kyler Murray,Andjita,2
Xavier Worthy,MeatWizard,1
Bucky Irving,MeatWizard,1
Kyren Williams,MeatWizard,2
Brock Purdy,Furl,2
Zay Flowers,angeltorres363,1
Rachaad White,angeltorres363,2
George Kittle,angeltorres363,1
Bo Nix,angeltorres363,1

