The YAFL 2.0 Eligible Keepers for 2021
MeatWizard is a little scope-creeping bitch
Delete these first 3 lines and it will import nice as a CSV.
Manager,Player_Name,Position,Keeper_Cost,Years_kept
Emrtz,Jordan Howard,RB,8,0
Emrtz,Robby Anderson,WR,6,0
Emrtz,Mike Williams,WR,10,0
Emrtz,Darrel Williams,RB,8,0
Emrtz,DK Metcalf,WR,2,1
Emrtz,Deebo Samuel,WR,8,1
Emrtz,Mecole Hardman,WR,11,0
Emrtz,Justin Jefferson,WR,1,0
Emrtz,Antonio Gibson,RB,4,1
Emrtz,Najee Harris,RB,0,0
Emrtz,Tampa Bay Buccaneers,DEF,14,0
Trickydick514,Travis Kelce,TE,0,1
Trickydick514,Devonta Freeman,RB,8,0
Trickydick514,David Johnson,RB,8,0
Trickydick514,Kenyan Drake,RB,9,0
Trickydick514,Joe Mixon,RB,1,0
Trickydick514,Phillip Walker,QB,8,0
Trickydick514,Josh Allen,QB,1,0
Trickydick514,Russell Gage,WR,10,0
Trickydick514,Gus Edwards,RB,3,0
Trickydick514,A.J. Brown,WR,6,2
Trickydick514,Daniel Jones,QB,9,0
Trickydick514,Michael Pittman,WR,8,0
Trickydick514,AJ Dillon,RB,7,0
Trickydick514,DeVonta Smith,WR,5,0
Trickydick514,Ja'Marr Chase,WR,4,0
Trickydick514,Rondale Moore,WR,12,0
Trickydick514,San Francisco 49ers,DEF,15,0
,*Gained a 2022 round 4 draft pick. Traded from Andjita,TexAgg10,Ryan Tannehill,QB,2,0
TexAgg10,T.Y. Hilton,WR,12,0
TexAgg10,Ben Roethlisberger,QB,10,0
TexAgg10,Sammy Watkins,WR,8,0
TexAgg10,Allen Robinson,WR,4,2
TexAgg10,Amari Cooper,WR,3,0
TexAgg10,Dak Prescott,QB,5,0
TexAgg10,Dalvin Cook,RB,0,0
TexAgg10,Kenny Golladay,WR,5,0
TexAgg10,James Conner,RB,8,0
TexAgg10,Jamaal Williams,RB,11,0
TexAgg10,Christian Kirk,WR,14,0
TexAgg10,D.J. Chark,WR,6,0
TexAgg10,Dallas Goedert,TE,9,0
TexAgg10,T.J. Hockenson,TE,7,1
TexAgg10,Tua Tagovailoa,QB,5,0
TexAgg10,Carolina Panthers,DEF,8,0
angeltorres363,Tom Brady,QB,1,0
angeltorres363,Adam Thielen,WR,4,0
angeltorres363,Derek Carr,QB,10,0
angeltorres363,Hunter Henry,TE,8,0
angeltorres363,Tyler Higbee,TE,11,0
angeltorres363,Tyreek Hill,WR,0,0
angeltorres363,Leonard Fournette,RB,6,0
angeltorres363,Dalton Schultz,TE,8,0
angeltorres363,Antonio Brown,WR,7,0
angeltorres363,Josh Jacobs,RB,2,0
angeltorres363,Devin Singletary,RB,9,0
angeltorres363,Van Jefferson,WR,8,0
angeltorres363,Bryan Edwards,WR,15,0
angeltorres363,Trevor Lawrence,QB,3,0
angeltorres363,Elijah Moore,WR,10,0
angeltorres363,Arizona Cardinals,DEF,8,0
Robbietee,Kirk Cousins,QB,4,0
Robbietee,Nelson Agholor,WR,11,0
Robbietee,Cooper Kupp,WR,2,2
Robbietee,Saquon Barkley,RB,0,0
Robbietee,Mike Gesicki,TE,8,0
Robbietee,Rob Gronkowski,TE,10,0
Robbietee,Nyheim Hines,RB,9,0
Robbietee,Marquise Brown,WR,12,2
Robbietee,Miles Sanders,RB,3,0
Robbietee,Zack Moss,RB,7,0
Robbietee,K.J. Osborn,WR,8,0
Robbietee,Tyrod Taylor,QB,13,0
Robbietee,Randall Cobb,WR,8,0
Robbietee,Aaron Rodgers,QB,1,0
Robbietee,Baltimore Ravens,DEF,14,0
Robbietee,Buffalo Bills,DEF,9,0
,*Lost a 2022 round 2 draft pick. Traded to Andjita,
,*Lost a 2023 round 4 draft pick. Traded to Andjita,
,*Lost a 2022 round 4 draft pick. Traded to Andjita,
,*Lost a 2023 round 3 draft pick. Traded to Andjita,
RazorMuffin,Mike Evans,WR,2,0
RazorMuffin,Christian McCaffrey,RB,0,0
RazorMuffin,Alvin Kamara,RB,0,0
RazorMuffin,D'Onta Foreman,RB,8,0
RazorMuffin,Matthew Stafford,QB,2,0
RazorMuffin,Mark Andrews,TE,4,0
RazorMuffin,Noah Fant,TE,8,0
RazorMuffin,Darrell Henderson,RB,11,1
RazorMuffin,Hunter Renfrow,WR,8,0
RazorMuffin,Myles Gaskin,RB,7,1
RazorMuffin,Joe Burrow,QB,3,0
RazorMuffin,Jerry Jeudy,WR,9,1
RazorMuffin,CeeDee Lamb,WR,2,0
RazorMuffin,Javonte Williams,RB,5,0
RazorMuffin,A.J. Green,WR,13,0
RazorMuffin,Cleveland Browns,DEF,15,0
ThinkSchwartz,Stefon Diggs,WR,0,0
ThinkSchwartz,Devontae Booker,RB,8,0
ThinkSchwartz,Alex Collins,RB,8,0
ThinkSchwartz,Corey Davis,WR,7,0
ThinkSchwartz,Jeremy McNichols,RB,8,0
ThinkSchwartz,Chris Carson,RB,1,0
ThinkSchwartz,Mason Rudolph,QB,8,0
ThinkSchwartz,DJ Moore,WR,4,0
ThinkSchwartz,Kyler Murray,QB,2,2
ThinkSchwartz,Damien Harris,RB,13,1
ThinkSchwartz,Jakobi Meyers,WR,11,0
ThinkSchwartz,Justin Herbert,QB,12,1
ThinkSchwartz,Tee Higgins,WR,5,1
ThinkSchwartz,Jonathan Taylor,RB,3,1
ThinkSchwartz,Justin Fields,QB,6,0
ThinkSchwartz,Los Angeles Rams,DEF,8,0
ThinkSchwartz,Pittsburgh Steelers,DEF,14,0
Furl,Robert Woods,WR,3,0
Furl,Jarvis Landry,WR,8,0
Furl,Jimmy Garoppolo,QB,8,0
Furl,Carson Wentz,QB,6,0
Furl,Patrick Mahomes,QB,0,0
Furl,Aaron Jones,RB,1,0
Furl,Zach Pascal,WR,8,0
Furl,Tony Pollard,RB,11,0
Furl,Alexander Mattison,RB,13,0
Furl,Darius Slayton,WR,8,0
Furl,Brandon Aiyuk,WR,12,1
Furl,Kyle Pitts,TE,2,0
Furl,Elijah Mitchell,RB,8,0
Furl,Michael Carter,RB,7,0
Furl,Julio Jones,WR,4,0
Furl,Tennessee Titans,DEF,8,0
