The YAFL 2.0 Eligible Keepers for 2021
MeatWizard is a little scope-creeping bitch
Delete these first 3 lines and it will import nice as a CSV.
Manager,Player_Name,Position,Keeper_Cost,Years_kept
,*Gained a 2022 round 2 draft pick. Traded from RazorMuffin,,*Gained a 2023 round 4 draft pick. Traded from RazorMuffin,,*Gained a 2023 round 4 draft pick. Traded from Emrtz,,*Gained a 2022 round 4 draft pick. Traded from RazorMuffin,,*Gained a 2023 round 3 draft pick. Traded from RazorMuffin,,*Gained a 2022 round 4 draft pick. Traded from chilliah,,*Lost a 2022 round 4 draft pick. Traded to TexAgg10,
Andjita,Marvin Jones,WR,8,0
Andjita,Odell Beckham,WR,5,0
Andjita,Teddy Bridgewater,QB,11,0
Andjita,Melvin Gordon,RB,6,0
Andjita,Mike Davis,RB,5,0
Andjita,Derrick Henry,RB,3,0
Andjita,Tyler Boyd,WR,7,0
Andjita,Deshaun Watson,QB,10,0
Andjita,Tim Patrick,WR,8,0
Andjita,Dan Arnold,TE,8,0
Andjita,Mike White,QB,8,0
Andjita,Boston Scott,RB,8,0
Andjita,D'Andre Swift,RB,6,1
Andjita,Cam Akers,RB,15,0
Andjita,Darnell Mooney,WR,10,0
Andjita,Kadarius Toney,WR,15,0
Andjita,Dallas Cowboys,DEF,8,0
Ninked,Kareem Hunt,RB,4,0
Ninked,Baker Mayfield,QB,3,0
Ninked,Sam Darnold,QB,10,0
Ninked,Calvin Ridley,WR,2,2
Ninked,Nick Chubb,RB,0,0
Ninked,Michael Gallup,WR,8,0
Ninked,Courtland Sutton,WR,5,2
Ninked,Marquez Valdes-Scantling,WR,8,0
Ninked,Terry McLaurin,WR,6,2
Ninked,D'Ernest Johnson,RB,8,0
Ninked,Laviska Shenault,WR,7,0
Ninked,Clyde Edwards-Helaire,RB,1,0
Ninked,Chase Claypool,WR,12,1
Ninked,James Robinson,RB,13,1
Ninked,Chuba Hubbard,RB,11,0
Ninked,Mark Ingram,RB,8,0
Ninked,Miami Dolphins,DEF,8,0
,*Lost a 2022 round 4 draft pick. Traded to Andjita,
,*Lost a 2022 round 3 draft pick. Traded to MeatWizard,
,*Lost a 2023 round 4 draft pick. Traded to MeatWizard,
chilliah,Cole Beasley,WR,10,0
chilliah,Keenan Allen,WR,1,0
chilliah,Cordarrelle Patterson,RB,8,0
chilliah,Davante Adams,WR,0,0
chilliah,Tyler Lockett,WR,4,0
chilliah,Jamison Crowder,WR,8,0
chilliah,Darren Waller,TE,5,2
chilliah,Will Fuller,WR,8,0
chilliah,Ezekiel Elliott,RB,0,0
chilliah,Chris Godwin,WR,4,0
chilliah,George Kittle,TE,3,0
chilliah,Austin Ekeler,RB,6,2
chilliah,Lamar Jackson,QB,3,2
chilliah,Emmanuel Sanders,WR,8,0
chilliah,Jalen Hurts,QB,2,0
chilliah,Cam Newton,QB,8,0
chilliah,Indianapolis Colts,DEF,8,0
,*Gained a 2022 round 3 draft pick. Traded from chilliah,,*Gained a 2023 round 4 draft pick. Traded from chilliah,MeatWizard,Zach Ertz,TE,8,0
MeatWizard,DeAndre Hopkins,WR,1,0
MeatWizard,Adrian Peterson,RB,8,0
MeatWizard,Taylor Heinicke,QB,8,0
MeatWizard,Sterling Shepard,WR,12,0
MeatWizard,J.D. McKissic,RB,13,0
MeatWizard,Taysom Hill,QB,15,0
MeatWizard,Chase Edmonds,RB,13,0
MeatWizard,David Montgomery,RB,2,0
MeatWizard,Diontae Johnson,WR,4,0
MeatWizard,Donovan Peoples-Jones,WR,8,0
MeatWizard,Jaylen Waddle,WR,7,0
MeatWizard,Mac Jones,QB,9,0
MeatWizard,Rashod Bateman,WR,15,0
MeatWizard,Pat Freiermuth,TE,8,0
MeatWizard,Rhamondre Stevenson,RB,14,0
MeatWizard,New England Patriots,DEF,15,0
,*Lost a 2023 round 4 draft pick. Traded to Andjita,
Emrtz,Russell Wilson,QB,1,0
Emrtz,Brandin Cooks,WR,7,0
Emrtz,Jameis Winston,QB,5,0
Emrtz,Matt Ryan,QB,3,0
Emrtz,Trevor Siemian,QB,8,0
Emrtz,Jared Goff,QB,13,0
