The YAFL 2.0 Kept Players for 2020:

Andjita: Dak Prescott - Years Kept 1
Andjita: John Brown - Years Kept 1
Andjita: Matt Breida - Years Kept 1
Andjita: Tyler Lockett - Years Kept 1
MeatWizard: Aaron Jones - Years Kept 1
MeatWizard: Chris Godwin - Years Kept 1
MeatWizard: Joe Mixon - Years Kept 1
MeatWizard: Michael Gallup - Years Kept 1
MeatWizard: Miles Sanders - Years Kept 1
Ninked: Calvin Ridley - Years Kept 1
Ninked: Courtland Sutton - Years Kept 1
Ninked: Terry McLaurin - Years Kept 1
Trickydick514: A.J. Brown - Years Kept 1
Trickydick514: Robby Anderson - Years Kept 1
Trickydick514: Ronald Jones - Years Kept 1
TxAgg10: Allen Robinson - Years Kept 1
TxAgg10: Derrick Henry - Years Kept 1
TxAgg10: Golden Tate - Years Kept 1
TxAgg10: Mark Ingram - Years Kept 1
TxAgg10: Tom Brady - Years Kept 1
TxRider: D.J. Chark - Years Kept 1
TxRider: Kyler Murray - Years Kept 1
TxRider: Melvin Gordon - Years Kept 1
angeltorres363: Devin Singletary - Years Kept 1
angeltorres363: Kenyan Drake - Years Kept 1
angeltorres363: Will Fuller - Years Kept 1
chilliah: Amari Cooper - Years Kept 1
chilliah: Austin Ekeler - Years Kept 1
chilliah: Chris Carson - Years Kept 1
chilliah: Darren Waller - Years Kept 1
chilliah: Lamar Jackson - Years Kept 1
jtcoleman13: Cooper Kupp - Years Kept 1
jtcoleman13: Marquise Brown - Years Kept 1
