player_name,display_name,years_kept
Josh Allen,Trickydick514,2
Jonathan Taylor,ThinkSchwartz,2
Tee Higgins,ThinkSchwartz,2
DJ Moore,ThinkSchwartz,1
Justin Herbert,ThinkSchwartz,2
Damien Harris,ThinkSchwartz,2
Jerry Jeudy,RazorMuffin,2
CeeDee Lamb,RazorMuffin,1
James Conner,TexAgg10,1
Dak Prescott,TexAgg10,1
Christian Kirk,TexAgg10,1
Buffalo Bills,Robbietee,1
Justin Jefferson,Emrtz,1
Brandin Cooks,Emrtz,1
Deebo Samuel,Emrtz,2
Mike Williams,Emrtz,2
Chase Claypool,Ninked,2
James Robinson,Ninked,2
Derrick Henry,Andjita,1
D'Andre Swift,Andjita,2
Darnell Mooney,Andjita,1
Cam Akers,Andjita,1
Diontae Johnson,MeatWizard,1
Jaylen Waddle,MeatWizard,1
Chase Edmonds,MeatWizard,1
Rhamondre Stevenson,MeatWizard,1
Rashod Bateman,MeatWizard,1
Elijah Mitchell,Furl,1
Brandon Aiyuk,Furl,2
Alexander Mattison,Furl,1
Leonard Fournette,angeltorres363,1
Dalton Schultz,angeltorres363,1
Devin Singletary,angeltorres363,1
Derek Carr,angeltorres363,1
