The YAFL 2.0 Eligible Keepers for 2020
MeatWizard is a little scope-creeping bitch
Delete these first 3 lines and it will import nice as a CSV.
Manager,Player_Name,Position,Keeper_Cost,Years_kept
RazorMuffin,Phillip Lindsay,RB,8,0
RazorMuffin,Darrell Henderson,RB,12,0
RazorMuffin,Jerry Jeudy,WR,10,0
RazorMuffin,Randall Cobb,WR,8,0
RazorMuffin,Aaron Rodgers,QB,2,0
RazorMuffin,Pittsburgh Steelers,DEF,11,0
TxRider,Ryan Tannehill,QB,10,0
TxRider,Marvin Jones,WR,7,0
TxRider,Russell Wilson,QB,0,0
TxRider,Melvin Gordon,RB,5,1
TxRider,Corey Davis,WR,8,0
TxRider,George Kittle,TE,1,0
TxRider,D.J. Chark,WR,7,1
TxRider,Kyler Murray,QB,3,1
TxRider,Damien Harris,RB,14,0
TxRider,Justin Herbert,QB,13,0
TxRider,Tee Higgins,WR,6,0
TxRider,Jonathan Taylor,RB,4,0
TxRider,Zack Moss,RB,9,0
Whitton48,T.Y. Hilton,WR,4,0
Whitton48,Le'Veon Bell,RB,3,0
Whitton48,Latavius Murray,RB,11,0
Whitton48,Jarvis Landry,WR,5,0
Whitton48,Stefon Diggs,WR,2,0
Whitton48,Drew Brees,QB,1,0
Whitton48,Ezekiel Elliott,RB,0,0
Whitton48,Austin Hooper,TE,14,0
Whitton48,Hunter Henry,TE,8,0
Whitton48,Jordan Howard,RB,9,0
Whitton48,Curtis Samuel,WR,12,0
Whitton48,Baker Mayfield,QB,6,0
Whitton48,Bryce Love,RB,15,0
Whitton48,Tua Tagovailoa,QB,10,0
Whitton48,CeeDee Lamb,WR,7,0
Whitton48,Baltimore Ravens,DEF,9,0
Whitton48,Buffalo Bills,DEF,13,0
