player_name,display_name,years_kept
Ja'Marr Chase,younggizzle,2
Kenneth Walker,younggizzle,1
Chris Olave,younggizzle,1
Patrick Mahomes,Ninked,1
Amon-Ra St. Brown,Ninked,2
Tyler Allgeier,Ninked,1
Justin Fields,JbMcc13,1
Miles Sanders,JbMcc13,1
DK Metcalf,JbMcc13,1
Rhamondre Stevenson,kruse47,1
Brandon Aiyuk,kruse47,1
DeVonta Smith,kruse47,1
Josh Allen,Trickydick514,2
Travis Kelce,Trickydick514,1
Travis Etienne,Emrtz,1
A.J. Brown,Emrtz,1
George Pickens,Emrtz,1
Jalen Hurts,chilliah,1
Christian Kirk,chilliah,1
Josh Jacobs,Robbietee,1
Tony Pollard,Andjita,1
Deebo Samuel,larrrl,2
Jaylen Waddle,larrrl,2
Rachaad White,MeatWizard,1
Christian Watson,MeatWizard,1
