Owner,Player,Position,Old Years Kept,New Years Kept,Draft Round 2020,Keeper Cost 2021,Eligible,Note
Emrtz,Tevin Coleman,RB,0,0,11,10,True,
Emrtz,Sterling Shepard,WR,0,0,9,8,True,
Emrtz,DeAndre Washington,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
Emrtz,Peyton Barber,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
Emrtz,Deshaun Watson,QB,0,0,2,1,True,
Emrtz,JuJu Smith-Schuster,WR,0,0,5,4,True,
Emrtz,Mike Williams,WR,0,0,12,11,True,
Emrtz,Boston Scott,RB,0,0,13,12,True,
Emrtz,DK Metcalf,WR,0,0,4,3,True,
Emrtz,Deebo Samuel,WR,0,0,10,9,True,
Emrtz,N'Keal Harry,WR,0,0,14,13,True,
Emrtz,Ty Johnson,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
Emrtz,Clyde Edwards-Helaire,RB,0,0,1,0,False,Ineligible. Drafted in first round.
Emrtz,Antonio Gibson,RB,0,0,6,5,True,
Emrtz,Tennessee Titans,DEF,0,0,9,8,False,Ineligible. Added after trade deadline.
angeltorres363,Alshon Jeffery,WR,0,0,14,13,True,
angeltorres363,Robert Woods,WR,0,0,4,3,True,
angeltorres363,Keenan Allen,WR,0,0,5,4,True,
angeltorres363,Adam Thielen,WR,0,0,3,2,True,
angeltorres363,Sammy Watkins,WR,0,0,13,12,True,
angeltorres363,Kenyan Drake,RB,1,1,7,6,True,
angeltorres363,Philip Rivers,QB,0,0,8,7,True,
angeltorres363,Patrick Mahomes,QB,0,0,1,0,False,Ineligible. Drafted in first round.
angeltorres363,Zach Pascal,WR,0,0,9,8,False,Ineligible. Added after trade deadline.
angeltorres363,Nick Mullens,QB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
angeltorres363,Nick Chubb,RB,0,0,2,1,True,
angeltorres363,Rob Gronkowski,TE,0,0,8,7,True,
angeltorres363,David Montgomery,RB,0,0,6,5,True,
angeltorres363,Devin Singletary,RB,1,1,9,8,True,
angeltorres363,Jalen Hurts,QB,0,0,9,8,False,Ineligible. Added after trade deadline.
angeltorres363,New England Patriots,DEF,0,0,15,14,False,Ineligible. Added after trade deadline.
TexAgg10,DeSean Jackson,WR,0,0,10,9,True,
TexAgg10,Mike Glennon,QB,0,0,9,8,False,Ineligible. Added after trade deadline.
TexAgg10,Tom Brady,QB,1,1,5,4,True,
TexAgg10,Jimmy Garoppolo,QB,0,0,9,8,True,
TexAgg10,Allen Robinson,WR,1,1,6,5,True,
TexAgg10,Devonta Freeman,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
TexAgg10,Mike Evans,WR,0,0,2,1,True,
TexAgg10,Derrick Henry,RB,1,1,3,2,True,
TexAgg10,Julian Edelman,WR,0,0,8,7,True,
TexAgg10,Jared Cook,TE,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
TexAgg10,Josh Reynolds,WR,0,0,9,8,False,Ineligible. Added after trade deadline.
